"Created Date","Record Number","Record Type","Status","Address","Property/Project Name","Description","Expiration Date",
"02/29/2024","SDOTTREE0006741","Tree - Plant/Prune/Remove","In Process","624   NW  81ST  ST   SEATTLE","Klase - 624 NW 81st St - Planting","Existing house. Plant 2 Japanese Maple Trees (5-6 ft) in the planting strip on the N side of NW 81st St between 6th Ave NW and 8th Ave NW. The sidewalk will remain open.",,
"02/29/2024","SDOTTREE0006742","Tree - Plant/Prune/Remove","In Process","361    CROCKETT  ST   SEATTLE","Torris - 361 Crockett St - Removal/Replant","Need to remove two Cherry Trees on 361 Crockett St Seattle 98109.These trees are in the right-of-way (between the sidewalk and street).And need to plant new trees of the same type.(Kvanzan Cherry Trees)This is required because a box truck caused major damage to them (Pictures will be attached).The sidewalk will remain open.",,
"02/28/2024","SDOTTREE0006733","Tree - Plant/Prune/Remove","In Process","12232    11TH  AVE  NW  SEATTLE","Borgmeyer -12232 11th Ave NW - Removal","We have two elderly  Blireiana Plum trees along the 11th Ave NW.  During the windstorm on 2/25/2024, one of the trees split in half with the trunk and branches coming down onto the sidewalk in front of the house.We removed the dead branches and limbs and will be removing the remaining half of the tree (fully rotten inside, less than 1"" of trunk remaining during the weekend of 3/2/2024.We would like to also take out the other plum tree sometime this spring, so that we can replace both trees with alternate trees from the Seattle street tree list - potentially two small trees or one large tree, depending on utility location.",,
"02/28/2024","SDOTTREE0006734","Tree - Plant/Prune/Remove","In Process","133   NE  133RD  ST   SEATTLE","Carpenter -13056 25th Ave NE - Pruning","A mix of 10 conifers are growing north of our property line.  They drop large limbs on our car and fence on occasion.  They also hang low and interfere with delivery truck travel on NE 133rd St.  And finally, there are two residential electric lines running through the trees.  Some major pruning is needed to get the stand maintained to code.  The trees were topped long before we moved in and they may need some cable stabilization so that none of the tops falls onto our house.  The house is only about 20 feet from the stand of trees.   They seem to be healthy over all, but need this pruning and assessment for safety as well as to bring them up to code.",,
"02/28/2024","SDOTTREE0006735","Tree - Plant/Prune/Remove","In Process","4327    BAGLEY  AVE  N  SEATTLE","Draper - 4327 Bagley Ave N - 19206","Removal:One European White Birch (Betula pendula) DSH: 24.5"" (TRE-27492)Location-East side of the property in the SDOT easementSpecification:-Safely remove and haul away all wood and debris-Low impact to be made to surrounding properties and landscape-Low stump to remainCity-approved trees will be replanted within one year of removal date at a 1:1 ratio. Replacement tree(s) shall be suitable for the site conditions and planting shall adhere to all spacing guidelines: 3½ feet back from the face of the curb, 5 feet from all underground utility lines (Call 811 to locate lines), 10 feet from power poles, 7 ½ feet from driveways (10 feet recommended), 20 feet from streetlights and other existing trees, and 30 feet from street intersections.",,
"02/27/2024","SDOTTREE0006722-AW001","ROW Withdrawal Request","Closed","5527   NE  WINDERMERE  RD   SEATTLE","Nelson - 5527 NE Windermere Rd - Removal","Removal of failing Douglas fir tree in back yard",,
"02/27/2024","SDOTTREE0006729","Tree - Plant/Prune/Remove","Initiated","9501    EVANSTON  AVE  N  SEATTLE","9501 Evanston Ave N","Relocated SFR and new ADU West of Evanston Ave N.",,
"02/27/2024","SDOTTREE0006730","Tree - Plant/Prune/Remove","In Process","202    WESTLAKE  AVE  N  SEATTLE","McCalmon - 202 Westlake Ave N - Pruning","Pruning of three trees located in the planting strip. We will no park parking spaces, equipment will be staged in the planting strip and parking spaces. Sidewalk will remain open, we will utilize a spotter and intermittent closured as needed.Three Chinese Elms (Planting strip on E John, SDOT Inventory #'s: TRE-1088905, TRE-1088903, TRE-1088901)",,
"02/27/2024","SDOTTREE0006731","Tree - Plant/Prune/Remove","Initiated","512   N  95TH  ST   SEATTLE","512 N 95TH ST","NEW SFR AND ADU NORTH OF N 95TH ST",,
"02/27/2024","SDOTTREE0006732","Tree - Plant/Prune/Remove","In Process","2419   E  ALOHA  ST   SEATTLE","2419 E Aloha st.","REBUILT EXISTING SFR. PLANT NEW STREET TREE PER ZONING CORRECTION.",,
"02/26/2024","SDOTTREE0006722","Tree - Plant/Prune/Remove","Withdrawn","5527   NE  WINDERMERE  RD   SEATTLE","Nelson - 5527 NE Windermere Rd - Removal","Removal of failing Douglas fir tree in back yard",,
"02/26/2024","SDOTTREE0006723","Tree - Plant/Prune/Remove","Additional Info Requested","2608    BOYER  AVE  E  SEATTLE","Queen City Yacht Club - 2608 Boyer Ave E - 19114","Remove one hazardous weeping willow tree (Salix babylonica) located on the NE corner of the parking lot near the shoreline.DSH:60.7"" (Not inventoried)Specification:-Safely remove and haul away all wood and debris-Low impact to be made to surrounding properties and landscape-Grind out stump and large diameter (2""+) surface roots to approximately 6-10 inches below existing site grade at the time of grinding-All stump mulch left in place to visually obscure the stump-Underground stump and roots to remain outside of root and stump zoneCity-approved trees will be replanted within one year of removal date at a 1:1 ratio. Replacement tree(s) shall be suitable for the site conditions and planting shall adhere to all spacing guidelines: 3½ feet back from the face of the curb, 5 feet from all underground utility lines (Call 811 to locate lines), 10 feet from power poles, 7 ½ feet from driveways (10 feet recommended), 20 feet from streetlights and other existing trees, and 30 feet from street intersections.",,
"02/26/2024","SDOTTREE0006724","Tree - Plant/Prune/Remove","In Process","7171    BEACH  DR  SW  SEATTLE","Kalberg - 7171 Beach Dr SW - 19241","Objective:To retain ecological benefits of the dead/declining tree by retaining a large portion of the main trunk as valuable urban wildlife habitat. Wildlife snags are aesthetic architectural features that add habitat and help maintain ecologic diversity in the urban forest.Specification:One Big Leaf Maple (Acer macrophyllum) tree located on hillside across from garageDSH:28.2""-Safely remove and haul away all upper canopy parts-Reduce the height of the main trunk to stand at approximately 10 to 15 feet (Just below lowest union)-Chainsaw the main leads to mimic a natural break and encourage habitat use-Low impact to be made to surrounding properties and landscape",,
"02/26/2024","SDOTTREE0006725","Tree - Plant/Prune/Remove","Initiated","3003   NE  88TH  ST   SEATTLE","3003 NE 88th St_CA","Conceptual approval",,
"02/26/2024","SDOTTREE0006726","Tree - Plant/Prune/Remove","Issued","923    22ND  AVE  E  SEATTLE","Geoffrey Arone - 923 22nd Ave E - Removal","Remove and replace 4 failing street trees","04/27/2024",
"02/26/2024","SDOTTREE0006727","Tree - Plant/Prune/Remove","Issued","7750    JONES  AVE  NW  SEATTLE","Fennell - 7750 Jones Ave NW -  Pruning 19221","Pruning Objective:To properly manage the plum trees for health, structure, and clearance to surrounding infrastructure.Pruning Specification:Two purple leaf plum trees (Prunus cerasifera) located in the planting strip.DSHs: 10, 12"" (TRE-1101039, TRE-1101040)-Provide clearance to the street and sidewalk to SDOT regulations-Remove dead or damaged limbs 2 inches in diameter or greater-Select thinning of vertical sprouts-Improving structurePruning will follow ANSI A300. Arborists adhering to the ANSI A300 pruning standard will not: leave branch stubs, make unnecessary heading cuts, cut into branch collars, top or lion's tail trees, or remove more than 25% live foliage within the entire tree or off a single branch.","05/02/2024",
"02/26/2024","SDOTTREE0006728","Tree - Plant/Prune/Remove","Initiated","11737    20TH  AVE  NE  SEATTLE",,"Confirm existing trees are sufficient to meet tree planting requirement for development in NR neighborhood.",,
"02/25/2024","SDOTTREE0006721","Tree - Plant/Prune/Remove","In Process","9739    WALLINGFORD  AVE  N  SEATTLE","Vitale - 9739 Wallingford Ave N - Planting","Existing house. Plant 1 dwarf Japanese cherry blossom tree in the planting strip on the West side of Wallingford Ave N outside of house 9739. The tree will be planted 7 feet south of the southernmost raised garden bed in the planting strip in front of house 9741. We will also build raised garden beds 7 feet south of the tree, north of where our driveway starts. The sidewalk will remain open.",,
"02/23/2024","SDOTTREE0006717","Tree - Plant/Prune/Remove","In Process","6752    7TH  AVE  NW  SEATTLE","Burke - 6752 7th Ave NW - Removal","Remove three birch trees from the planting strip on 7th Avenue Northwest, between NW 67th St and NW 70th St, East Side.",,
"02/23/2024","SDOTTREE0006718","Tree - Plant/Prune/Remove","Issued","8231    15TH  AVE  NE  SEATTLE","Gillis - 8231 15th Ave NE - Pruning","Prune two Flowering Plums in planting strip on West side of 15th Ave NE between NE 82nd St and NE 85th St.Prune to improve aesthetics. Remove majority of dead material. Improve branch spacing and structure as needed. Thin dense areas of canopy and define layers","04/23/2024",
"02/23/2024","SDOTTREE0006719","Tree - Plant/Prune/Remove","Issued","822   NE  81ST  ST   SEATTLE","Shields - 822 NE 81st St  - Pruning","Prune two Maple in planting strip on North side on NE 81st St between 8th Ave NE and Roosevelt Way NE. Remove/reduce branches to lift over lawn, reduce from wires at neighbor's.","05/09/2024",
"02/23/2024","SDOTTREE0006542-A001","Trees - Revision Amendment","Closed","2621   E  ALOHA  ST   SEATTLE","Luke - 2621 E Aloha St - Root Prune/Remove -18419","East Tree - root prune for sidewalk installation.  West Tree - removeDepending on the discretion of the SDOT inspector, Root-Prune or Remove 2x Katsura trees (Cercidiphyllum japonicum) located in the planting strip.-DSHs: 16-20""-Not inventoried by SDOT-Sidewalk Repair Permit: SUCONST0005738 - Active-STC will reach out to the inspector with potential dates for them to inspect the roots.-----------------------SDOT PERMIT NOTES, AF:Final decision pending inspection after root exposure. Emailed Nolan to delegate inspection since I will be out of town the week that the work is proposed to take place. - AF",,
"02/23/2024","SDOTTREE0006720","Tree - Plant/Prune/Remove","Issued","2817    34TH  AVE  S  SEATTLE","Yaplee - 2817 34th Ave S - Prune","Prune one cherry tree to raise over sidewalk and driveway on 34th Avenue South between S McClellan St and S Mount Baker Blvd, West Side.  ALL CUTS TO ANSI A300 STANDARDS.","03/20/2024",
"02/22/2024","SDOTTREE0006712","Tree - Plant/Prune/Remove","Initiated","11332    12TH  AVE  NE  SEATTLE",,"SDOT Conceptual approval for existing to remain street tree associated with record number 6962933-CN per zoning corrections.",,
"02/22/2024","SDOTTREE0006713","Tree - Plant/Prune/Remove","Additional Info Submitted","4529   S  ORCAS  ST   SEATTLE","4529 S Orcas St_CA","Conceptual approval",,
"02/22/2024","SDOTTREE0006714","Tree - Plant/Prune/Remove","In Process","9026    3RD  AVE  S  SEATTLE","9026 3rd Ave S - SUSIP0000740","Two adjoining lots with two sfrs and ADUs East of 3rd Ave S. This project is going through a SIP.",,
"02/22/2024","SDOTTREE0006715","Tree - Plant/Prune/Remove","Initiated","937   N  87TH  ST   SEATTLE","937 N 87th St_CA","Conceptual approval",,
"02/22/2024","SDOTTREE0006716","Tree - Plant/Prune/Remove","Initiated","2727    50TH  AVE  SW  SEATTLE","Trifts - 2727 50th Ave SW - Removal","Remove dead birch tree and plant new tree",,
"02/21/2024","SDOTTREE0006700","Tree - Plant/Prune/Remove","In Process","2635   SW  HOLDEN  ST   SEATTLE","2635 SW Holden st - SUSIP0000346","SIP FRONTAGE FOR SW HOLDEN ST, 27TH AVE SW, 26TH PLACE SW",,
"02/21/2024","SDOTTREE0006701","Tree - Plant/Prune/Remove","Issued","4402   S  FERDINAND  ST   SEATTLE","Strong - 4402 S Ferdinand St - Removal/ PLANT","removal of 34"" DSH laurel bush in right of way on the E side of 44th Ave S. No sidewalk impacted. Street will remain open.  PLANT 1 CITY APPROVED STREET TREE AS REPLACEMENT.  CALL 811 BEFORE DIGGING.","03/07/2025",
"02/21/2024","SDOTTREE0006702","Tree - Plant/Prune/Remove","Issued","1427   S  MAIN  ST   SEATTLE","PlantAmnesty - 1427 S Main St - remove/prune","Applicant Notes:Plant Amnesty volunteering project. Removal of dead Linden located on the planting strip on the south side of S Washington St. DBH 24.Linden, DBH 33.Objectives: -Reduce likelihood of branch failure.-Maintain street and sidewalk clearance.Specifications:-Raise over street to provide approximately 14 feet of clearance.-Raise over sidewalk to provide approximately 8 feet of clearance.-Reduce the length of overextending, bowing or tip heavy branches or branches with defects or weak attachments.-Most cuts should be around 2 inches in diameter, back to healthy lateral branches with a diameter of at least 1/3 of the diameter of the cut.-Cuts should not exceed 3 inches in diameter.--------------------------SDOT PERMIT NOTES, AF:Prune one linden located in the ROW on S Main St at 1427 S Main St as stated in the applicant notes. All pruning to conform to current ANSI A300 standards, and SDOT Street Tree Manual.Remove one dead linden located in the ROW on S Washington St at 1427 S Main St. Grind stump below grade to prepare site for replanting.  Call 811 or visit https://wa.itic.occinc.com/ to schedule a utility locate before stump grinding.Plant one SDOT approved street tree in the ROW at 1427 S Main St. All planting to conform to current ANSI A300 standards, and SDOT Street Tree Manual. Call 811 or visit https://wa.itic.occinc.com/ to schedule a utility locate before digging.Plant two additional SDOT approved streets tree in the ROW at 1427 S Main St on any frontage to replace trees removed on permit SDOTTREE0006690. All planting to conform to current ANSI A300 standards, and SDOT Street Tree Manual. Call 811 or visit https://wa.itic.occinc.com/ to schedule a utility locate before digging.SDOT SPACING STANDARDS: street trees shall be planted according to the following guidelines: 3½ feet back from the face of the curb, 5 feet from all underground utility lines (Call 811 to locate lines), 10 feet from power poles, 7 ½ feet from driveways (10 feet recommended), 20 feet from street lights and other existing trees, 30 feet from street intersections (avoid driver sightline issues).  GENERAL PLANTING SPECIFICATIONS: Species to be planted shall be selected from the approved street tree list & shall be suitable for the site conditions. Planting shall adhere to spacing guidelines. Prior to planting perform an 811 locate to mark all underground utilities.","04/25/2025",
"02/21/2024","SDOTTREE0006703","Tree - Plant/Prune/Remove","Issued","3611   NE  57TH  ST   SEATTLE","Farago - 3611 NE 57th St - Removal  17945","Removals:Two flowering cherry (Prunus serrulata) trees located in the planting stripDSHs: 10"" each (Not inventoried)Prune:One flowering cherry (Prunus serrulata) tree located in the planting stripDSHs: 10""Specification:-Safely remove and haul away all wood and debris-Low impact to be made to surrounding properties and landscape-Deep Grind Stump Grind included - grind out stump and large diameter (2""+) surface roots to approximately 6-10 inches below existing site grade at the time of grinding-All stump mulch left in place to visually obscure the stumpCity-approved trees will be replanted within one year of removal date at a 1:1 ratio. Replacement tree(s) shall be suitable for the site conditions and planting shall adhere to all spacing guidelines: 3½ feet back from the face of the curb, 5 feet from all underground utility lines (Call 811 to locate lines), 10 feet from power poles, 7 ½ feet from driveways (10 feet recommended), 20 feet from streetlights and other existing trees, and 30 feet from street intersections.","02/20/2025",
"02/21/2024","SDOTTREE0006704","Tree - Plant/Prune/Remove","Initiated","7012    RAVENNA  AVE  NE  SEATTLE","7012 Ravenna Ave NE Development","Development of an SFR parcel. As a development requirement, SDCI requires an SDOT Tree review for proposed street trees. It does not appear that space between driveway, existing street tree, and wet utilities exists.",,
"02/21/2024","SDOTTREE0006705","Tree - Plant/Prune/Remove","Issued","932   NW  105TH  ST   SEATTLE","Hepburn - 932 NW 105th St - Pruning","Hello, Homeowner has 2 Zelkova street trees she is seeking to have trimmed. Objective: -Right of way clearance -4 D's Dead, Damaged, Diseased and Dysfunctional - Some thinning by performing Selective pruning cuts. All to adhere to ANSI 300 Pruning will follow ANSI A300. Arborists adhering to the ANSI A300 pruning standard will not: leave branch stubs, make unnecessary heading cuts, cut off the branch collar (not make a flush cut), top or lion's tail trees (stripping a branch from the inside leaving foliage just at the ends), remove more than 25 percent of the foliage of a single branch. Maintain clearances to roadway, sidewalks, and infrastructure.","03/16/2024",
"02/21/2024","SDOTTREE0006706","Tree - Plant/Prune/Remove","Issued","1767   NW  64TH  ST   SEATTLE","1767 NW 64th st, Trimming 7 street trees along NW 63rd","Hello , We had SDOT permit : SDOTTREE0005494 approved months back. We did not get a chance to schedule this work. Permit expired and hoping to put in a new one for the same line of work.","03/23/2024",
"02/21/2024","SDOTTREE0006707","Tree - Plant/Prune/Remove","Issued","1235    39TH  AVE  E  SEATTLE","Zou - 1235 39th Ave E - Pruning   18662","Applicant Notes:Pruning Specifications:Two Japanese maple trees (Acer palmatum) located in the planting strip along 39th Ave E.DSHs: 14, 16"" (TRE-48791, TRE-48793)-Pruning to remove dead or damaged limbs 1 inch in diameter or greater-Manage shape to have a smoother canopy profile-Ensure clearance to the streetPruning will follow ANSI A300. Arborists adhering to the ANSI A300 pruning standard will not: leave branch stubs, make unnecessary heading cuts, cut into branch collars, top or lion's tail trees, or remove more than 25% live foliage within the entire tree or off a single branch.------------------------SDOT PERMIT NOTES, AF:Prune two Japanese maples located in the ROW at 1235 39th Ave E as stated in the applicant notes. All pruning to conform to current ANSI A300 standards.","04/27/2024",
"02/21/2024","SDOTTREE0006708","Tree - Plant/Prune/Remove","Issued","1110    24TH  AVE   SEATTLE","1122 23RD AVE - SUSIPX420730 - UF permit #2","7 Story apartment building located at 1100 23rd AVE Seattle , WA 98122","06/04/2024",
"02/21/2024","SDOTTREE0006709","Tree - Plant/Prune/Remove","Issued","713    27TH  AVE   SEATTLE","Bagg - 713 27TH AVE - Planting","Applicant Notes:Planting one Goldenrain Tree (Koelreuteria paniculata) in the north portion of the client’s planting strip. Final planting location will depend on buried utility placement. Planting strip is 9' wide and there are wires overhead.”--------------------SDOT PERMIT NOTES, AF:Plant one Goldenrain tree in the ROW at 713 27th Ave. All planting to conform to current ANSI A300 standards, and SDOT Street Tree Manual. Call 811 or visit https://wa.itic.occinc.com/ to schedule a utility locate before digging.SDOT SPACING STANDARDS: street trees shall be planted according to the following guidelines: 3½ feet back from the face of the curb, 5 feet from all underground utility lines (Call 811 to locate lines), 10 feet from power poles, 7 ½ feet from driveways (10 feet recommended), 20 feet from street lights and other existing trees, 30 feet from street intersections (avoid driver sightline issues).  GENERAL PLANTING SPECIFICATIONS: Species to be planted shall be selected from the approved street tree list & shall be suitable for the site conditions. Planting shall adhere to spacing guidelines. Prior to planting perform an 811 locate to mark all underground utilities.","03/17/2025",
"02/21/2024","SDOTTREE0006710","Tree - Plant/Prune/Remove","In Process","4451    WOODLAND PARK  AVE  N  SEATTLE","Zimmer - 4451 Woodland Park Ave N - Pruning","Prune two Redbuds located on South end of the property, in the land between the sidewalk and street.",,
"02/21/2024","SDOTTREE0006711","Tree - Plant/Prune/Remove","Issued","6742    EARL  AVE  NW  SEATTLE","Bolster - 6742 Earl Ave NW - Pruning","To prune three flowering cherry trees located in the planting strip. Mainly pruning for street and sidewalk clearance with some structural pruning. The largest diameter cuts will be under 4"" diameter, no more than 20% of total foliage area of each tree will be removed.","03/29/2024",
"02/20/2024","SDOTTREE0006695","Tree - Plant/Prune/Remove","Issued","117    GALER  ST   SEATTLE","Smith - 117 Galer St - Pruning","Applicant Notes:4 plum trees in planting strip along Warren Ave n: crown cleaning, crown reduction, raising for street and sidewalk clearance, thinning. trees have been utility pruned.------------------SDOT PERMIT NOTES, AF:Prune four plum trees located in the ROW at 117 Galer St as stated in the applicant notes - no more than 15% total live crown to be removed from any individual tree this pruning cycle. All pruning to conform to current ANSI A300 standards.","03/23/2024",
"02/20/2024","SDOTTREE0006696","Tree - Plant/Prune/Remove","Issued","111  A   17TH  AVE   SEATTLE","Huruli - 111 17th Ave - Removal  18984","Applicant Notes:Two diseased/dying Himalayan Birch trees (Betula utilis var. jacquemontii) located in the planting strip.DSHs: 5, 6"" (TRE-1073279, TRE-1073280)Specification:-Safely remove and haul away all wood and debris-Low impact to be made to surrounding properties and landscape-Deep Grind Stump Grind included - grind out stump and large diameter (2""+) surface roots to approximately 6-10 inches below existing site grade at the time of grinding-All stump mulch left in place to visually obscure the stumpCity-approved trees will be replanted within one year of removal date at a 1:1 ratio. Replacement tree(s) shall be suitable for the site conditions and planting shall adhere to all spacing guidelines: 3½ feet back from the face of the curb, 5 feet from all underground utility lines (Call 811 to locate lines), 10 feet from power poles, 7 ½ feet from driveways (10 feet recommended), 20 feet from streetlights and other existing trees, and 30 feet from street intersections.---------------------------SDOT PERMIT NOTES, AF:Remove two declining birch trees from the ROW at 111 17th Ave. Grind stumps below grade to prepare site for replanting. Call 811 or visit https://wa.itic.occinc.com/ to schedule a utility locate before stump grinding.Plant two SDOT approved street trees in the ROW at 111 17th Ave. All planting to conform to current ANSI A300 standards, and SDOT Street Tree Manual. Call 811 or visit https://wa.itic.occinc.com/ to schedule a utility locate before digging.SDOT SPACING STANDARDS: street trees shall be planted according to the following guidelines: 3½ feet back from the face of the curb, 5 feet from all underground utility lines (Call 811 to locate lines), 10 feet from power poles, 7 ½ feet from driveways (10 feet recommended), 20 feet from street lights and other existing trees, 30 feet from street intersections (avoid driver sightline issues).  GENERAL PLANTING SPECIFICATIONS: Species to be planted shall be selected from the approved street tree list & shall be suitable for the site conditions. Planting shall adhere to spacing guidelines. Prior to planting perform an 811 locate to mark all underground utilities.","02/25/2025",
"02/20/2024","SDOTTREE0006697","Tree - Plant/Prune/Remove","Issued","1402    32ND  AVE  S  SEATTLE","Endresen -1402 32nd Ave S - Removal","Applicant Notes:Existing house.  Remove 3 sick and decaying ornamental pear trees on the parking strip located on the east side of 32nd Ave S.  The sidewalk will remain open.------------------------------SDOT PERMIT NOTES, AF:Remove three damaged cherries from the ROW at 1402 32nd Ave. Post trees with yellow removal notice for 14 days prior to removal. Grind stumps below grade to prepare site for replanting. Call 811 or visit https://wa.itic.occinc.com/ to schedule a utility locate before stump grinding.Plant three SDOT approved street trees in the ROW at 1402 32nd Ave.  All planting to conform to current ANSI A300 standards, and SDOT Street Tree Manual. Call 811 or visit https://wa.itic.occinc.com/ to schedule a utility locate before digging.SDOT SPACING STANDARDS: street trees shall be planted according to the following guidelines: 3½ feet back from the face of the curb, 5 feet from all underground utility lines (Call 811 to locate lines), 10 feet from power poles, 7 ½ feet from driveways (10 feet recommended), 20 feet from street lights and other existing trees, 30 feet from street intersections (avoid driver sightline issues).  GENERAL PLANTING SPECIFICATIONS: Species to be planted shall be selected from the approved street tree list & shall be suitable for the site conditions. Planting shall adhere to spacing guidelines. Prior to planting perform an 811 locate to mark all underground utilities.","05/02/2024",
"02/20/2024","SDOTTREE0006698","Tree - Plant/Prune/Remove","Initiated","903   NW  60TH  ST   SEATTLE","903 NW 60th St","Three new single-family residences and one new detached accessory dwelling unit, two new curb cuts, and four surface parking stalls. All existing structures to be demolished. Two new street trees proposed for the south side of NW 60th St and three new street trees proposed for the west side of 9th Ave NW.",,
"02/20/2024","SDOTTREE0006699","Tree - Plant/Prune/Remove","Initiated","601    DEXTER  AVE  N  SEATTLE","601 DEXTER AVE N - SUSIPX414407","Construction of 10 floors of shell & core lab/ office space over 3 floors of below grade parking.  BNB requests to remove (1) existing tree located on the west side of Dexter Ave N. just north of the Dexter/Mercer Intersection.  We propose replacing the tree at the completion of the project under our SIP Permit.  The tree replacement scope would include re-installation of any accessories related to the tree such as silva cells as required by SDOT.  The tree removal/replacement is required for the following reasons:  · Site Constraints – The property is bounded by Dexter Ave N – East, Mercer – South, Aurora - West and alley - north.  We are limited to Dexter Ave N for load/trucking/concrete pumping/etc due to logistics issues with all other elevations (elevation difference, traffic volumes/safety, trucking access).  These considerations limit trucking and logistics to the Dexter Ave N Location. If this tree were to remain it would hamper our ability to fully utilize the proposed trucking area.    · Public/Pedestrian/Bicycle Safety - Our proposed street use configuration relies on shifting the bike and traffic lanes to provide a trucking lane.  The location of the tree renders the trucking lane useless for many means/methods related tasks. This includes potential conveyor/mass excavation export, tower crane/manlift erect and dismantle, concrete truck and pump. Tree Health – If the tree were to remain during construction it would require significant pruning and be at risk for damage despite tree protection measures that would be implemented by BNB. Our proposal to remove and replace the tree would ensure the ROW is returned with a healthy tree at the completion of the project.",,
"02/19/2024","SDOTTREE0006691","Tree - Plant/Prune/Remove","In Process","221    30TH  AVE  E  SEATTLE","Boros - 221 30th Ave E - Plant/Prune","There is an unimproved ROW on the west side of the property.  A Big Leaf Maple is growing in it with a solitary limb overhanging the homeowner's backyard.  Permits have been granted to allow him to build a DADU and he would like the limb tipped back to mitigate any risk of the limb failing and striking the new building.  He would also like to plant a Western Hemlock as a privacy screening tree.",,
